index,date,open,high,low,close,volume
0,"2021/02/06, 12:00:00",1670.56,1674.17,1668.38,1672.12,8425.8657
1,"2021/02/06, 12:15:00",1672.12,1681.18,1668.27,1679.02,7420.88984
2,"2021/02/06, 12:30:00",1679.0,1679.42,1672.12,1673.74,8222.07906
3,"2021/02/06, 12:45:00",1673.52,1681.0,1673.01,1676.61,7659.34158
4,"2021/02/06, 13:00:00",1676.45,1682.0,1674.33,1675.19,6504.50711
5,"2021/02/06, 13:15:00",1675.19,1680.0,1672.57,1673.32,8463.79891
6,"2021/02/06, 13:30:00",1673.21,1683.31,1672.01,1680.42,9747.5994
7,"2021/02/06, 13:45:00",1680.41,1704.48,1680.41,1698.96,17008.17776
8,"2021/02/06, 14:00:00",1698.96,1709.0,1694.3,1702.23,10474.20954
9,"2021/02/06, 14:15:00",1702.33,1704.31,1695.85,1699.99,11431.09472
10,"2021/02/06, 14:30:00",1699.99,1716.44,1695.36,1716.35,16460.88723
11,"2021/02/06, 14:45:00",1716.36,1718.47,1704.04,1705.73,18765.03548
12,"2021/02/06, 15:00:00",1705.73,1709.5,1695.31,1698.72,14834.1636
13,"2021/02/06, 15:15:00",1698.79,1701.47,1689.89,1694.46,15895.80382
14,"2021/02/06, 15:30:00",1694.42,1696.0,1687.57,1691.43,8099.87138
15,"2021/02/06, 15:45:00",1691.43,1693.53,1676.98,1682.0,11424.69529
16,"2021/02/06, 16:00:00",1682.09,1687.7,1675.0,1686.51,9720.64722
17,"2021/02/06, 16:15:00",1686.52,1695.0,1683.85,1691.82,11633.38651
18,"2021/02/06, 16:30:00",1691.82,1697.55,1673.21,1677.1,20462.0298
19,"2021/02/06, 16:45:00",1677.1,1697.0,1673.25,1693.94,15463.42363
20,"2021/02/06, 17:00:00",1693.6,1694.32,1680.47,1680.57,9640.48674
21,"2021/02/06, 17:15:00",1680.58,1686.0,1675.91,1679.67,12378.60572
22,"2021/02/06, 17:30:00",1679.67,1683.26,1663.0,1665.95,13110.56945
23,"2021/02/06, 17:45:00",1665.88,1679.28,1665.79,1676.89,9112.41042
24,"2021/02/06, 18:00:00",1676.89,1689.84,1676.76,1684.67,11247.16523
25,"2021/02/06, 18:15:00",1684.98,1688.0,1674.68,1674.68,9518.17118
26,"2021/02/06, 18:30:00",1674.68,1682.0,1669.06,1680.15,12024.03053
27,"2021/02/06, 18:45:00",1679.93,1687.8,1676.1,1686.54,6118.7722
28,"2021/02/06, 19:00:00",1686.55,1687.0,1680.0,1682.01,9738.19444
29,"2021/02/06, 19:15:00",1682.2,1683.82,1672.72,1676.36,10012.19642
30,"2021/02/06, 19:30:00",1676.29,1685.0,1676.15,1680.19,6538.77128
31,"2021/02/06, 19:45:00",1680.37,1697.52,1680.09,1690.64,11803.77956
32,"2021/02/06, 20:00:00",1690.64,1697.1,1688.0,1689.84,7121.34822
33,"2021/02/06, 20:15:00",1689.85,1691.77,1684.0,1686.53,7137.00416
34,"2021/02/06, 20:30:00",1686.79,1692.97,1684.01,1689.33,8054.54268
35,"2021/02/06, 20:45:00",1689.33,1695.01,1681.2,1685.37,10180.56093
36,"2021/02/06, 21:00:00",1685.41,1689.17,1676.07,1679.85,12964.18884
37,"2021/02/06, 21:15:00",1679.62,1680.78,1671.92,1673.04,11765.21655
38,"2021/02/06, 21:30:00",1673.04,1675.47,1655.23,1671.5,26545.31437
39,"2021/02/06, 21:45:00",1671.5,1685.44,1670.92,1682.8,12527.29621
40,"2021/02/06, 22:00:00",1682.79,1688.4,1681.68,1687.78,7588.2306
41,"2021/02/06, 22:15:00",1687.79,1694.0,1687.35,1694.0,8817.63092
42,"2021/02/06, 22:30:00",1694.0,1694.0,1685.25,1686.02,8861.35097
43,"2021/02/06, 22:45:00",1686.02,1690.0,1678.51,1687.67,6193.60355
44,"2021/02/06, 23:00:00",1687.66,1690.62,1685.03,1689.1,5036.46571
45,"2021/02/06, 23:15:00",1689.09,1708.0,1689.09,1704.25,20612.7227
